ticket_id,date_submitted,channel,category,text,word_count,sentiment_label,intent_label,resolution_status,response_time_hours,csat_score,agent_id
TKT-00383,2024-03-17,social_media,account,i have a neutral experience regarding account. this is a escalation request.,12,neutral,escalation_request,pending,26.7,,agt-047
TKT-00539,2024-11-05,email,account,i have a negative experience regarding account. this is a feedback.,11,negative,feedback,resolved,9.8,3.0,agt-012
TKT-01494,2024-11-04,chat,returns,i have a negative experience regarding returns. this is a inquiry.,11,negative,,pending,5.3,,agt-034
TKT-01113,2024-12-01,phone_transcript,returns,can i exchange instead of return?,6,neutral,inquiry,escalated,12.8,5.0,agt-027
TKT-00325,2024-08-28,social_media,shipping,i have a neutral experience regarding shipping. this is a inquiry.,11,neutral,inquiry,escalated,4.3,3.0,agt-031
TKT-00362,2024-08-14,phone_transcript,shipping,the package arrived damaged. everything inside was broken.,8,negative,complaint,resolved,59.8,5.0,agt-035
TKT-01488,2024-07-18,social_media,technical support,i have a positive experience regarding technical support. this is a feedback.,12,positive,feedback,pending,5.0,,agt-049
TKT-01030,2024-09-19,phone_transcript,billing,can you explain what the 'service fee' on my invoice means?,11,neutral,inquiry,resolved,48.6,1.0,agt-028
TKT-00708,2024-05-02,email,returns,i was told returns are free but now you're trying to charge me a restocking fee.,16,negative,complaint,resolved,54.3,3.0,agt-008
TKT-00333,2024-11-23,email,billing,i have a neutral experience regarding billing. this is a feedback.,11,,feedback,resolved,18.8,2.0,agt-043
TKT-00430,2024-08-14,chat,account,i have a neutral experience regarding account. this is a inquiry.,11,neutral,,escalated,22.5,2.0,agt-034
TKT-01243,2024-08-27,chat,returns,i have a negative experience regarding returns. this is a escalation request.,12,negative,escalation_request,resolved,18.1,3.0,agt-040
TKT-00426,2024-07-22,email,technical support,i have a negative experience regarding technical support. this is a feedback.,12,negative,feedback,resolved,7.9,1.0,agt-002
TKT-00629,2024-05-22,email,billing,i have a neutral experience regarding billing. this is a complaint.,11,neutral,complaint,resolved,47.6,1.0,agt-032
